listingValue,review_title,review_title_url,review_comment,review_date,review_user,review_user_url,review_rating,remove
,Inspiring and Hilarious,https://www.imdb.com/review/rw5133978/?ref_=tt_urv,"This movie was as enjoyable for a 3 year old as it was for a 63 year old. Abominable takes the themes of grief, hope and family and magically transforms them to take the viewers on an epic journey through Chinese culture. Infused with music, language, landmarks, customs, spirituality and traditions, Abominable makes viewers feel like they are on the journey right alongside Everest and his newfound friends.
With a slew of witty one liners, heartfelt moments and magic-infused hilarity, this film plays like a Concerto of a young girl trying to help a lost creature find his way home, and in turn, finding her own way back home as well. Fresh and original, absolutely one of the best animated films of the decade.",21-Sep-19,lindsayriessen,https://www.imdb.com/user/ur63489036/?ref_=tt_urv,10ค๋10ค้,1
,Beautiful,https://www.imdb.com/review/rw5109493/?ref_=tt_urv,"I went to see this movie at the world premier at TIFF. It's a funny, emotional, and enjoyable film perfect for young and adult audiences (I cried like a little child with all the beautiful meanings of this story). Go see it!",9-Sep-19,antonioldd,https://www.imdb.com/user/ur83086629/?ref_=tt_urv,10ค๋10ค้,1
,A Wonderful Animated Film,https://www.imdb.com/review/rw5112534/?ref_=tt_urv,"Dreamworks has been hit or miss when it comes to releasing great animated films over the years. Whether it's Shrek or Kung Fu Panda, there some truly great movies out there, but I once How to Train Your Dragon hit theatres, and each of its consecutively great sequels, I found myself wondering if the studio had peaked with that trilogy. Well, Abominable is their latest upcoming release, and after seeing it at the Toronto International Film Festival, I can confidently say that this is surprisingly one of the very best animated films that they have released, ever.
Everyone knows that the creature known as the Yeti has been known to be a myth, but in Abominable, a young girl (Yi) finds that one actually exists. Having been experimented on in laboratories until escaping and finding its way onto this girl's roof, she befriends him and makes it her mission, along with two other friends, to return him to his home on mount Everest. This particular story has been told hundreds of times, but unlike many movies that choose to copy and paste formulas, Abominable is one that truly cares about the characters and the adventure they go on, which had me falling in love with it as it progressed.
Having written the story for Monster's Inc., worked in the animation department at Pixar on Toy Story and Toy Story 2, eventually directing her first animated feature in Open Season, and now officially writing and directing Abominable, completely bringing her full vision to life, Jill Culton is one with a storied career, albeit not massive. After her outing here, I must admit that I will be following her work for years to come because I believe her vision and how it was showcased, was honestly fantastic. On top of that, Dreamworks has been on a roll with incredible animation, and this movie is nothing shy of fitting that description.
It should go without saying nowadays that most films released by large studios will probably hire the best of the best to create the most beautiful animation, but I just have to commend them here as well. The smooth motions of characters and the detail put into the wide landscape shots are all superb, and these elements are only elevated by a very enjoyable cast of characters, on an adventure that eventually had me in tears. If for nothing else, you'll probably enjoy looking at this movie, but it has much more than that to offer.
In the end, Abominable does suffer from feeling familiar at first glance, but this movie embraces that and creates a journey that feels fresh. The themes throughout this film are meant for all ages, which is why I believe this movie will be a hit with families across the world when it hits theatres. I wasn't exactly jumping out of my seat with excitement when the trailers for this movie first began to circulate, but after experiencing it for myself, I must say that Abominable definitely surprised me in ways that I wasn't expecting. This is a great animated film and it deserves attention when it hits theatres.",10-Sep-19,kjproulx,https://www.imdb.com/user/ur23240045/?ref_=tt_urv,10ค๋9ค้,1
,Hollow,https://www.imdb.com/review/rw5192907/?ref_=tt_urv,This movie had no more substance than its admittedly appealing visuals. The story is as unoriginal as it comes. Its setting in China is transparent: no more than a coat of Chinese paint over a western culture (and an advertisement for western tourism in China).,17-Oct-19,drmcwasson,https://www.imdb.com/user/ur46953000/?ref_=tt_urv,10ค๋2ค้,1
,beautiful,https://www.imdb.com/review/rw5142258/?ref_=tt_urv,Love this movie. great for adults and kids. I would highly recommend it. Go watch it!,25-Sep-19,AlyziaFabregui,https://www.imdb.com/user/ur103918176/?ref_=tt_urv,10ค๋10ค้,1
,Rule,https://www.imdb.com/review/rw5189010/?ref_=tt_urv,It's rude to let the cow's tongue line encroach Vietnamese territory appear in the film,15-Oct-19,mrdracule,https://www.imdb.com/user/ur108808510/?ref_=tt_urv,10ค๋4ค้,1
,A Film with a BIG Heart,https://www.imdb.com/review/rw5112946/?ref_=tt_urv,"Abominable is a gorgeously animated film that should delight all children (and a lot of adults) with its stunning animation, original storyline and heartfelt messaging.
All aspects of the animation process are seamlessly meshed in this film, and the end result is an extraordinary animated feature. A pleasing storyline, great character designs including the lovable ""Everest"", visually mesmerizing backgrounds and skillful cinematography, ensure that this film should delight most audiences, of all ages.
All the sequences be they, the skyscrapers of urban Shanghai, or the rivers and mountains of rural China, are breathtaking beautiful and intrinsically detailed. The film is a delight to watch. I found it charming and visually pleasing on so many fronts. The musical score is a perfect accompaniment to the animation. It is patently obvious that this project is close to the Writer and Director, Jill Culton's heart.",10-Sep-19,ZimKit,https://www.imdb.com/user/ur29309308/?ref_=tt_urv,10ค๋9ค้,1
,I'm asian and this is one of my favourite movies.,https://www.imdb.com/review/rw5146058/?ref_=tt_urv,I did know about Yeti before and my dad is from China. This is why I really appreciate how this movie was created. It's one of the most beautiful movie. The plot is really nice. The characters look so cute. The music is really good especially the song that the main character plays. I felt relaxed and happy after watching this. :),27-Sep-19,qinxiuwen,https://www.imdb.com/user/ur108144349/?ref_=tt_urv,10ค๋10ค้,1
,Confusing Movie,https://www.imdb.com/review/rw5188318/?ref_=tt_urv,"The movie had a decent (predictable) premise, however the actual execution of the movie and its story has so many holes that it loses all viability. The movie lacks creativity, is full of cliche and formula storyline, and is generally a waste of time.
I went into the movie with medium expectations, came out disappointed with the movie.
3-8 year old girls with an interest in violins may enjoy this movie.",14-Oct-19,asifbilal,https://www.imdb.com/user/ur48069790/?ref_=tt_urv,10ค๋3ค้,1
,It was so heartwarming,https://www.imdb.com/review/rw5147147/?ref_=tt_urv,"I went to see this with my daughter, I went in not really knowing what to expect from the movie and left so touched by just the messages in the movie. The humor was great and hearing all the children constantly laughing made my evening. It was fantastic! IF I had to pick a CON, at first I thought the beginning was dragged out, but it is needed in my opinion for the rest of the movie, where it all fits in!!! Great movie! will be buying when its released.",28-Sep-19,ktjohnson-52786,https://www.imdb.com/user/ur95770445/?ref_=tt_urv,10ค๋9ค้,1
